order_id,tanggal,tahun,pelanggan,lokasi,produk,jenis_material,profile_size,ketebalan_material,ukuran,jumlah_unit,jumlah_lubang,metode_hitung,harga_per_m2,harga_per_m,harga_per_lubang,upah_tenaga_ahli,finishing,kerumitan_desain,harga_final
ORD-00062,5/6/2019,2019,Mbak Lina,Suradadi,Pintu Handerson,Pipa Stainless,2inch,1,2.06,1,0,PER-M2,1350000,0,0,412000,Tanpa Cat,Menengah,2881000
ORD-00063,1/8/2024,2024,Mbak Sari,Talang,Pagar,Hollow Stainless,4x6,0.8,8.72,1,0,PER-M2,1230000,0,0,1308000,Tanpa Cat,Menengah,10825600
ORD-00064,6/19/2019,2019,Mas Andi,Slawi,Pintu Handerson,Hollow,4x4,1,3.99,2,0,PER-M2,800000,0,0,798000,Cat Biasa,Menengah,6534000
ORD-00065,8/19/2019,2019,Pak Kasno,Lengkong,Kanopi,Hollow Stainless,4x4,1,14.9,1,0,PER-M2,700000,0,0,2235000,Tanpa Cat,Sederhana,10430000
ORD-00066,10/10/2020,2020,Masjid Nurul Huda,Adiwerna,Pintu Gerbang,Hollow,4x4,1.2,5.4,1,0,PER-M2,700000,0,0,540000,Cat Biasa,Sederhana,3830000
ORD-00067,4/30/2023,2023,Bu Endang,Warureja,Teralis,Pipa Stainless,1x3,0.8,0,1,17,PER-LUBANG,0,0,680000,2550000,Tanpa Cat,Menengah,11660000
ORD-00068,8/24/2023,2023,Pak Sutrisno,Talang,Pagar,Hollow,4x6,1.2,13.67,1,0,PER-M2,700000,0,0,1367000,Cat Biasa,Sederhana,9619000
ORD-00069,6/9/2025,2025,Bu Wati,Jatinegara,Pagar,Hollow,4x6,1,8.07,1,0,PER-M2,700000,0,0,807000,Cat Dasar,Menengah,5749000
ORD-00070,12/16/2022,2022,TPQ Al-Falah,Balapulang,Pintu Gerbang,Pipa Stainless,2inch,1.2,8.19,1,0,PER-M2,1300000,0,0,1638000,Tanpa Cat,Menengah,10747000
ORD-00071,5/4/2024,2024,Mbak Sri,Jatinegara,Railing,Hollow Stainless,4x4,1,3.49,3,0,PER-M,0,1230000,0,1570500,Tanpa Cat,Sederhana,12878100
ORD-00072,11/1/2023,2023,Bu Siti,Tarub,Railing,Hollow Stainless,4x6,1,4.55,2,0,PER-M,0,1250000,0,1365000,Tanpa Cat,Menengah,11475000
ORD-00073,1/30/2022,2022,Mbak Tutik,Jatinegara,Railing,Pipa Stainless,4x4,1,8.86,1,0,PER-M,0,970000,0,1772000,Tanpa Cat,Menengah,8694200
ORD-00074,7/16/2020,2020,Bu Endang,Lengkong,Railing,Hollow,4x6,1.2,3,1,0,PER-M,0,550000,0,300000,Cat Biasa,Sederhana,1700000
ORD-00075,2/22/2022,2022,Mbak Lina,Talang,Teralis,Hollow,1x3,0.8,0,1,22,PER-LUBANG,0,0,300000,1650000,Cat Duco,Kompleks,6900000
ORD-00076,5/15/2021,2021,Mbak Tutik,Dukuhturi,Railing,Hollow,4x4,0.8,5.46,1,0,PER-M,0,450000,0,546000,Cat Biasa,Menengah,2607000
ORD-00077,5/2/2021,2021,Pak Slamet,Pagerbarang,Teralis,Hollow,1x3,1.2,0,1,11,PER-LUBANG,0,0,400000,825000,Cat Biasa,Menengah,4550000
ORD-00078,9/8/2021,2021,Bu Yani,Slawi,Railing,Hollow Stainless,4x4,1,12.54,3,0,PER-M,0,1150000,0,5643000,Tanpa Cat,Menengah,43363000
ORD-00079,8/22/2025,2025,Pak Jarwo,Balapulang,Kanopi,Hollow Stainless,4x4,1.2,15.49,2,0,PER-M2,900000,0,0,4647000,Tanpa Cat,Menengah,27982000
ORD-00080,3/19/2023,2023,Bu Ningsih,Margasari,Kanopi,Pipa Stainless,2inch,1.2,20.42,1,0,PER-M2,900000,0,0,4084000,Tanpa Cat,Sederhana,18378000
ORD-00081,1/12/2022,2022,Mas Budi,Lebaksiu,Pintu Handerson,Hollow Stainless,4x4,1.2,4.26,2,0,PER-M2,1560000,0,0,1278000,Tanpa Cat,Sederhana,13291200
ORD-00082,2/21/2023,2023,Mushola Ar-Rahman,Adiwerna,Pintu Gerbang,Hollow Stainless,4x6,1,8.81,1,0,PER-M2,1400000,0,0,1321500,Tanpa Cat,Sederhana,12334000
ORD-00083,10/28/2024,2024,Bu Yani,Talang,Pagar,Hollow,4x4,0.8,16.72,1,0,PER-M2,550000,0,0,1672000,Cat Duco,Sederhana,9346000
ORD-00084,7/2/2024,2024,Bu Endang,Tarub,Railing,Pipa Stainless,2inch,1.2,2.29,2,0,PER-M,0,1200000,0,916000,Tanpa Cat,Menengah,5596000
ORD-00085,1/17/2020,2020,Toko Kayu Jati,Bojong,Kanopi,Hollow Stainless,4x4,1.2,14.92,2,0,PER-M2,800000,0,0,4476000,Tanpa Cat,Kompleks,24022000
ORD-00086,4/22/2023,2023,Pak Karso,Dukuhturi,Pintu Handerson,Hollow Stainless,4x4,1.2,4.49,1,0,PER-M2,1600000,0,0,673500,Tanpa Cat,Sederhana,7184000
ORD-00087,4/26/2020,2020,Warung Kopi Pak Mul,Dukuhturi,Kanopi,Hollow,4x6,1,23.98,2,0,PER-M2,450000,0,0,4796000,Cat Dasar,Menengah,21682000
ORD-00088,2/5/2020,2020,Mbak Tutik,Warureja,Railing,Hollow Stainless,4x4,1.2,7.66,2,0,PER-M,0,1150000,0,2298000,Tanpa Cat,Sederhana,17618000
ORD-00089,10/4/2022,2022,Mbak Sari,Tarub,Kanopi,Hollow,4x6,0.8,15.23,2,0,PER-M2,400000,0,0,3046000,Cat Duco,Menengah,12434000
ORD-00090,9/5/2022,2022,Mas Andi,Balapulang,Railing,Pipa Stainless,2inch,1,8.75,2,0,PER-M,0,1070000,0,3500000,Tanpa Cat,Sederhana,18725000
ORD-00091,5/27/2021,2021,Mbak Lina,Tarub,Pintu Handerson,Hollow,4x8,1,3.63,2,0,PER-M2,950000,0,0,726000,Cat Biasa,Sederhana,6947000
ORD-00092,3/3/2022,2022,Bu Siti,Lebaksiu,Pagar,Pipa Stainless,2inch,1.2,20.73,1,0,PER-M2,1120000,0,0,4146000,Tanpa Cat,Sederhana,23217600
ORD-00093,4/30/2019,2019,Bu Yani,Warureja,Pintu Handerson,Hollow,4x8,0.8,2.28,1,0,PER-M2,850000,0,0,228000,Cat Biasa,Sederhana,1988000
ORD-00094,11/24/2020,2020,Bu Marni,Jatinegara,Pagar,Hollow,4x6,0.8,18.74,1,0,PER-M2,550000,0,0,1874000,Cat Dasar,Menengah,10407000
ORD-00095,4/15/2019,2019,Pak Hadi,Lebaksiu,Teralis,Hollow Stainless,1x3,1.2,0,1,20,PER-LUBANG,0,0,750000,3000000,Tanpa Cat,Kompleks,15150000
ORD-00096,9/21/2019,2019,Pak Bambang,Adiwerna,Teralis,Hollow Stainless,1x3,1.2,0,1,15,PER-LUBANG,0,0,750000,2250000,Tanpa Cat,Menengah,11350000
ORD-00097,1/12/2019,2019,Mbak Sari,Kramat,Kanopi,Hollow Stainless,4x6,1,17.59,2,0,PER-M2,750000,0,0,5277000,Tanpa Cat,Sederhana,26385000
ORD-00098,3/31/2025,2025,Bu Wati,Talang,Kanopi,Hollow,4x4,0.8,20.13,2,0,PER-M2,450000,0,0,4026000,Cat Dasar,Sederhana,18117000
ORD-00099,2/11/2024,2024,Pak Kasno,Adiwerna,Pagar,Hollow Stainless,4x8,1.2,17.46,1,0,PER-M2,1380000,0,0,2619000,Tanpa Cat,Kompleks,24244800
ORD-00100,5/3/2021,2021,Pak Sutrisno,Bojong,Pagar,Hollow Stainless,4x6,1.2,14.66,1,0,PER-M2,1250000,0,0,2199000,Tanpa Cat,Sederhana,18325000
ORD-00101,8/10/2024,2024,Mbak Tutik,Dukuhturi,Railing,Pipa Stainless,2inch,1.2,2.08,2,0,PER-M,0,1200000,0,832000,Tanpa Cat,Menengah,5092000
ORD-00102,1/23/2022,2022,Bu Wati,Slawi,Railing,Hollow Stainless,4x6,1,11.83,3,0,PER-M,0,1220000,0,5323500,Tanpa Cat,Sederhana,43297800
ORD-00103,1/24/2022,2022,CV Bangun Jaya,Kramat,Railing,Hollow,4x6,1,3.01,3,0,PER-M,0,550000,0,903000,Cat Dasar,Menengah,5066500
ORD-00104,12/22/2020,2020,Mbak Sri,Talang,Kanopi,Hollow,4x6,1.2,15.31,1,0,PER-M2,500000,0,0,1531000,Cat Duco,Menengah,7905000
ORD-00105,12/3/2021,2021,Mas Joko,Jatinegara,Railing,Pipa Stainless,2inch,1.2,5.96,3,0,PER-M,0,1100000,0,3576000,Tanpa Cat,Menengah,19768000
ORD-00106,12/26/2019,2019,Mas Budi,Suradadi,Teralis,Hollow Stainless,1x3,1.2,0,1,17,PER-LUBANG,0,0,750000,2550000,Tanpa Cat,Menengah,12850000
ORD-00107,5/28/2020,2020,Mbak Tuti,Adiwerna,Kanopi,Hollow,4x6,1.2,21.98,1,0,PER-M2,500000,0,0,2198000,Cat Biasa,Sederhana,11040000
ORD-00108,6/7/2019,2019,Pak Bambang,Bojong,Pintu Handerson,Hollow,4x6,0.8,5.8,1,0,PER-M2,800000,0,0,580000,Cat Biasa,Sederhana,4690000
ORD-00109,11/12/2025,2025,Mbak Retno,Bojong,Pintu Handerson,Hollow Stainless,4x6,1.2,3.28,1,0,PER-M2,1850000,0,0,492000,Tanpa Cat,Menengah,6168000
ORD-00110,3/24/2025,2025,Mbak Tuti,Suradadi,Railing,Hollow,4x6,0.8,13.67,3,0,PER-M,0,550000,0,4101000,Cat Biasa,Sederhana,22605500
ORD-00111,5/17/2025,2025,Bu Siti,Dukuhturi,Pintu Gerbang,Hollow Stainless,4x6,1.2,7.71,1,0,PER-M2,1650000,0,0,1156500,Tanpa Cat,Sederhana,12721500
ORD-00112,9/1/2021,2021,Pak Tukiman,Margasari,Teralis,Hollow Stainless,1x3,1.2,0,1,23,PER-LUBANG,0,0,850000,3450000,Tanpa Cat,Kompleks,19700000
ORD-00113,9/8/2021,2021,Bu Ningsih,Adiwerna,Pagar,Hollow,4x4,1,25.87,1,0,PER-M2,550000,0,0,2587000,Cat Duco,Sederhana,14378500
ORD-00114,11/10/2019,2019,Pak Warno,Dukuhturi,Teralis,Pipa Stainless,1x3,1,0,1,16,PER-LUBANG,0,0,650000,2400000,Tanpa Cat,Menengah,10500000
ORD-00115,7/3/2021,2021,Pak Hadi,Suradadi,Railing,Hollow Stainless,4x6,1.2,12.38,3,0,PER-M,0,1250000,0,5571000,Tanpa Cat,Sederhana,46425000
ORD-00116,3/13/2023,2023,Mbak Tutik,Talang,Kanopi,Hollow,4x4,0.8,18.45,2,0,PER-M2,420000,0,0,3690000,Cat Biasa,Kompleks,15698000
ORD-00117,11/11/2023,2023,Mbak Lina,Talang,Pintu Handerson,Hollow,4x6,1,2.91,1,0,PER-M2,950000,0,0,291000,Cat Dasar,Menengah,2864500
ORD-00118,9/3/2022,2022,CV Bangun Jaya,Dukuhturi,Pintu Gerbang,Hollow Stainless,4x4,0.8,5.51,1,0,PER-M2,1250000,0,0,826500,Tanpa Cat,Sederhana,6887500
ORD-00119,10/23/2020,2020,Pak Sutrisno,Balapulang,Pagar,Hollow Stainless,4x8,0.8,17.34,1,0,PER-M2,1150000,0,0,2601000,Tanpa Cat,Sederhana,19941000
ORD-00120,7/19/2020,2020,CV Bangun Jaya,Bojong,Railing,Pipa Stainless,2inch,1.2,3.97,1,0,PER-M,0,1080000,0,794000,Tanpa Cat,Kompleks,4437600
ORD-00121,5/1/2022,2022,Bu Siti,Slawi,Railing,Hollow,4x4,0.8,13.35,1,0,PER-M,0,450000,0,1335000,Cat Biasa,Sederhana,6057500
ORD-00122,10/10/2020,2020,Bu Endang,Lengkong,Railing,Hollow Stainless,4x4,1,4.33,1,0,PER-M,0,1100000,0,649500,Tanpa Cat,Kompleks,4913000
ORD-00123,5/13/2024,2024,Kontraktor Budi,Suradadi,Railing,Hollow Stainless,4x4,1.2,2.39,3,0,PER-M,0,1280000,0,1075500,Tanpa Cat,Menengah,9277600
ORD-00124,3/8/2025,2025,Balai Desa Warureja,Bojong,Pintu Gerbang,Hollow,4x4,1.2,10.15,1,0,PER-M2,850000,0,0,1015000,Cat Biasa,Menengah,8777500
ORD-00125,12/29/2020,2020,Mbak Sri,Margasari,Railing,Hollow,4x4,0.8,7.57,3,0,PER-M,0,400000,0,2271000,Cat Biasa,Sederhana,9134000
ORD-00126,4/18/2019,2019,Bu Ningsih,Warureja,Railing,Hollow Stainless,4x4,1.2,13.16,1,0,PER-M,0,1100000,0,1974000,Tanpa Cat,Sederhana,14476000
ORD-00127,5/25/2024,2024,Bu Endang,Pagerbarang,Railing,Hollow,4x6,0.8,4.09,2,0,PER-M,0,550000,0,818000,Cat Biasa,Sederhana,4549000
ORD-00128,3/27/2022,2022,Pak Karso,Adiwerna,Teralis,Hollow Stainless,1x3,1,0,1,19,PER-LUBANG,0,0,830000,2850000,Tanpa Cat,Kompleks,15920000
ORD-00129,3/10/2025,2025,Masjid Nurul Huda,Talang,Pintu Gerbang,Hollow,4x6,1.2,7.96,1,0,PER-M2,900000,0,0,796000,Cat Biasa,Menengah,7314000
ORD-00130,7/6/2020,2020,Pak Jarwo,Lebaksiu,Pintu Gerbang,Hollow,4x6,0.8,11.05,1,0,PER-M2,650000,0,0,1105000,Cat Dasar,Sederhana,7182500
ORD-00131,5/2/2023,2023,Pak Hadi,Pagerbarang,Pagar,Hollow,4x6,0.8,28.48,1,0,PER-M2,600000,0,0,2848000,Cat Biasa,Menengah,17238000
ORD-00132,12/11/2019,2019,Konter HP Mandiri,Warureja,Kanopi,Hollow Stainless,4x8,0.8,10.97,1,0,PER-M2,750000,0,0,1645500,Tanpa Cat,Sederhana,8227500
ORD-00133,8/14/2023,2023,Mbak Sari,Balapulang,Kanopi,Pipa Stainless,1.5inch,1.2,19.07,2,0,PER-M2,800000,0,0,7628000,Tanpa Cat,Kompleks,30662000
ORD-00134,4/26/2024,2024,CV Bangun Jaya,Warureja,Railing,Hollow,4x6,1,3.94,1,0,PER-M,0,600000,0,394000,Cat Duco,Sederhana,2514000
ORD-00135,4/14/2023,2023,Bu Siti,Kramat,Railing,Hollow,4x4,1.2,11.62,2,0,PER-M,0,600000,0,2324000,Cat Dasar,Kompleks,14094000
ORD-00136,1/29/2025,2025,Mas Rudi,Balapulang,Kanopi,Hollow Stainless,4x8,1.2,11.57,2,0,PER-M2,1000000,0,0,3471000,Tanpa Cat,Menengah,23240000
ORD-00137,5/16/2025,2025,Mbak Sri,Margasari,Teralis,Pipa Stainless,1x3,0.8,0,1,6,PER-LUBANG,0,0,700000,900000,Tanpa Cat,Sederhana,4200000
ORD-00138,10/8/2019,2019,Bu Endang,Talang,Kanopi,Hollow,4x8,1.2,10.63,2,0,PER-M2,550000,0,0,2126000,Cat Duco,Sederhana,11843000
ORD-00139,7/30/2023,2023,Toko Besi Sumber Rejeki,Balapulang,Kanopi,Hollow,4x6,1.2,10.37,1,0,PER-M2,570000,0,0,1037000,Cat Biasa,Sederhana,5960900
ORD-00140,2/17/2023,2023,Pak Kasno,Suradadi,Kanopi,Hollow,4x4,1,13.04,2,0,PER-M2,470000,0,0,2608000,Cat Biasa,Sederhana,12307600
ORD-00141,11/9/2021,2021,Pak Warno,Talang,Railing,Hollow,4x6,0.8,6.27,1,0,PER-M,0,500000,0,627000,Cat Biasa,Sederhana,3185000
ORD-00142,10/22/2025,2025,Bu Puji,Margasari,Pintu Handerson,Pipa Stainless,2inch,0.8,4.45,1,0,PER-M2,1600000,0,0,890000,Tanpa Cat,Sederhana,7120000
ORD-00143,3/21/2019,2019,CV Bangun Jaya,Margasari,Railing,Hollow,4x6,1,9.08,3,0,PER-M,0,500000,0,2724000,Cat Dasar,Sederhana,13620000
ORD-00144,6/21/2019,2019,Pak Warno,Tarub,Pintu Handerson,Hollow,4x8,1,5,2,0,PER-M2,900000,0,0,1000000,Cat Biasa,Menengah,9150000
